Fascia;Italia;Piemonte;Valle D'Aosta;Lombardia;Trentino Alto Adige;Veneto;Friuli Venezia Giulia;Liguria;Emilia Romagna;Toscana;Umbria;Marche;Lazio;Abruzzo;Molise;Campania;Puglia;Basilicata;Calabria;Sicilia;Sardegna
0-4;2216510;148501;4344;384468;48893;178392;39999;46991;164053;125266;29321;51774;214937;45504;9608;239922;144322;18747;74952;199334;47182
5-9;2578340;176178;5369;450075;53376;210590;47501;56107;192269;150858;35669;62800;256288;53360;10993;266208;168405;20907;81867;220147;59373
10-14;2841695;193185;6030;492234;55760;234336;53126;63228;209453;167872;39799;69161;276870;57510;12060;300724;189409;23880;88783;241329;66946
15-19;2857013;190406;5821;474113;56805;232933;52887;64254;201627;165859;38954;68585;265788;58068;13171;320390;204352;26612;93698;254606;68084
20-24;2957340;200623;5991;489517;59850;242771;54764;67687;208013;169549;40060;72219;272419;61346;14763;325882;213889;28599;98101;261204;70093
25-29;3045579;205447;5847;505359;59488;242443;55660;69197;218464;173495;40845;72979;285737;65341;15827;333875;215216;30177;104071;271322;74789
30-34;3226146;217534;6275;547941;60759;253316;59166;71788;236364;190055;44497;77149;311921;69636;16200;339047;218751;31157;111409;280596;82585
35-39;3483252;234373;6733;600037;63695;274345;64860;75913;259049;209250;49772;84905;353249;76164;16924;353307;230381;32089;114457;290610;93139
40-44;4008570;275197;8030;689447;69466;326502;77351;88589;307113;248073;57623;101634;406631;86344;18916;383153;270905;35347;124008;322724;111517
45-49;4692501;336822;9931;816449;82114;395382;96021;115992;366970;298887;67173;117156;475527;98576;21716;427377;300638;40407;134045;359978;131340
50-54;4817675;353299;10736;832004;87235;413121;100667;127186;366135;303771;68205;119556;482137;103615;23210;432966;307531;43192;140342;369712;133055
55-59;4623965;337831;10249;775721;83512;395276;97755;126922;343084;289927;67288;116534;457422;100351;23404;422845;299157;43750;141024;359752;132161
60-64;3946096;293262;8464;637723;68734;327678;82413;108357;293141;247394;58769;102622;378001;88486;21382;360019;261425;38999;128219;322944;118064
65-69;3474333;265263;7655;557884;57198;282525;73768;95754;251736;219457;52926;91295;326719;80007;19299;313901;234564;34451;114730;287695;107506
70-74;3441171;269571;7429;563680;54281;280077;78289;102430;258329;231678;53830;88398;317710;77702;18575;293840;233166;32057;107313;275556;97260
75-79;2547210;205058;5611;424560;44291;215820;61913;81448;194144;175733;41328;67670;236777;54173;12086;200079;166502;20732;71370;191601;76314
80-84;2277963;191640;4969;385923;35640;186505;54108;77510;181590;162819;38757;65848;211992;51294;12301;162647;140413;21476;65024;166235;61272
85-89;1396102;115916;2836;228038;22153;111937;31154;48757;116053;100777;25097;42309;127893;33377;8510;97072;86642;14398;43247;102729;37207
90-94;629658;51531;1417;99580;10572;51314;15126;23647;54748;48161;12028;19832;56580;15618;4110;40631;38204;6429;18714;44031;17385
95-99;144282;11067;293;22197;2716;12136;4004;5495;13688;11585;2930;4827;12867;3673;1000;8489;8194;1403;4268;9600;3850
100+;17177;1209;34;2534;286;1329;516;737;1602;1293;325;543;1612;485;132;1073;1004;165;558;1171;569
